frameno,ant_id,x,y,next_x,next_y,speed,angle,cos(angle)
549,23,889.556,240.37,889.556,238.055,2.3149999999999977,-1.5707963267948966,6.123233995736766e-17
549,24,974.04,110.75,976.36,108.435,3.277441837775344,-0.7843194151643187,0.7078691598001983
549,25,919.747,263.783,919.747,263.783,0.0,,
549,26,930.062,-28.12929,930.062,-28.12929,0.0,,
549,29,670.822,-11.9268,667.35,-11.9268,3.47199999999998,0.0,1.0
549,42,978.29,-5.993300000000001,978.29,-5.993300000000001,0.0,,
549,48,365.271,99.62100000000001,365.271,99.62100000000001,0.0,,
550,4,406.599,477.307,408.895,472.715,5.13401207633955,-1.1071487177940955,0.44721359549995343
550,21,468.59,131.765,472.034,134.061,4.139172864232685,0.5880026035475695,0.8320502943378426
550,22,870.383,424.5,870.383,424.5,0.0,,
550,23,889.556,238.055,890.713,238.055,1.1569999999999254,0.0,1.0
550,24,976.36,108.435,974.04,110.75,3.277441837775344,-0.7843194151643187,0.7078691598001983
550,25,919.747,263.783,919.747,263.783,0.0,,
550,26,930.062,-28.12929,930.062,-28.12929,0.0,,
550,29,667.35,-11.9268,670.822,-11.9268,3.47199999999998,0.0,1.0
550,42,978.29,-5.993300000000001,978.29,-5.993300000000001,0.0,,
550,48,365.271,99.62100000000001,360.679,99.62100000000001,4.592000000000041,0.0,1.0
551,4,408.895,472.715,418.078,468.123,10.267129735227842,-0.46369116680197975,0.8944077105105568
551,21,472.034,134.061,473.182,135.209,1.6235171696043278,0.785398163397436,0.7071067811865562
551,22,870.383,424.5,870.383,424.5,0.0,,
551,23,890.713,238.055,893.028,238.055,2.3150000000000546,0.0,1.0
551,24,974.04,110.75,974.04,110.75,0.0,,
551,25,919.747,263.783,919.747,263.783,0.0,,
551,26,930.062,-28.12929,930.062,-28.12929,0.0,,
551,29,670.822,-11.9268,673.137,-15.398700000000002,4.172926384445302,-0.9827139662405249,0.5547665563018718
551,42,978.29,-5.993300000000001,978.29,-5.993300000000001,0.0,,
551,48,360.679,99.62100000000001,352.643,100.769,8.117585848021566,-0.14189705460416344,0.9899494936611666
552,4,418.078,468.123,418.078,469.271,1.1480000000000246,1.5707963267948966,6.123233995736766e-17
552,21,473.182,135.209,476.626,136.357,3.6302947538732604,0.3217505543966447,0.948683298050513
552,22,870.383,424.5,870.383,424.5,0.0,,
552,23,893.028,238.055,890.713,238.055,2.3150000000000546,0.0,1.0
552,24,974.04,110.75,974.04,110.75,0.0,,
552,25,919.747,263.783,919.747,263.783,0.0,,
552,26,930.062,-28.12929,930.062,-31.601266,3.471975999999998,-1.5707963267948966,6.123233995736766e-17
552,29,673.137,-15.398700000000002,670.822,-11.9268,4.172926384445302,-0.9827139662405249,0.5547665563018718
552,42,978.29,-5.993300000000001,987.48,-5.993300000000001,9.190000000000055,0.0,1.0
552,48,352.643,100.769,350.348,99.62100000000001,2.566111649948186,0.46382188575052885,0.8943492384855112
553,4,418.078,469.271,414.635,469.271,3.4429999999999836,0.0,1.0
553,21,476.626,136.357,475.478,132.913,3.630294753873278,1.2490457723982618,0.316227766016831
553,22,870.383,424.5,870.383,424.5,0.0,,
553,23,890.713,238.055,891.871,240.37,2.5884723293865872,1.10697594654494,0.4473681201276108
553,24,974.04,110.75,972.88,110.75,1.1599999999999682,0.0,1.0
553,25,919.747,263.783,919.747,263.783,0.0,,
553,26,930.062,-31.601266,933.534,-30.44394,3.6598070263711797,0.32174865347377984,0.9486838991733899
553,29,670.822,-11.9268,670.822,-14.241399999999999,2.3145999999999987,-1.5707963267948966,6.123233995736766e-17
553,42,987.48,-5.993300000000001,990.92,-8.289200000000001,4.135789744413948,-0.5885189730881829,0.8317637531371647
553,48,350.348,99.62100000000001,345.756,99.62100000000001,4.592000000000041,0.0,1.0
554,4,414.635,469.271,413.487,473.863,4.733325258209051,-1.3258176636680383,0.24253562503632728
554,21,475.478,132.913,476.626,134.061,1.6235171696042876,0.7853981633974606,0.7071067811865388
554,22,870.383,424.5,870.383,424.5,0.0,,
554,23,891.871,240.37,888.399,240.37,3.47199999999998,0.0,1.0
554,24,972.88,110.75,972.88,110.75,0.0,,
554,25,919.747,263.783,919.747,263.783,0.0,,
554,26,933.534,-30.44394,934.692,-25.81465,4.7719272735552085,1.3256799265424932,0.2426692473746097
554,29,670.822,-14.241399999999999,673.137,-11.9268,3.273621566400081,0.7853117628447123,0.7071678729639137
554,42,990.92,-8.289200000000001,992.0699999999999,-5.993300000000001,2.567811677284755,1.106434656122992,0.4478521576068248
554,48,345.756,99.62100000000001,340.016,98.47300000000001,5.8536744016044695,0.1973955598498817,0.98058067569092
555,4,413.487,473.863,411.191,469.271,5.134012076339525,1.1071487177940806,0.44721359549996675
555,21,476.626,134.061,481.217,138.652,6.49265446485487,0.7853981633974452,0.7071067811865498
555,22,870.383,424.5,870.383,424.5,0.0,,
555,23,888.399,240.37,891.871,240.37,3.47199999999998,0.0,1.0
555,24,972.88,110.75,972.88,110.75,0.0,,
555,25,919.747,263.783,919.747,263.783,0.0,,
555,26,934.692,-25.81465,930.062,-26.97197,4.772451108434738,0.2449420727781947,0.9701513739589753
555,29,673.137,-11.9268,673.137,-11.9268,0.0,,
555,42,992.0699999999999,-5.993300000000001,997.81,-3.6972999999999985,6.182169198590421,0.38050637711236474,0.9284766908852594
555,48,340.016,98.47300000000001,337.72,99.62100000000001,2.56700603816975,-0.4636476090008061,0.8944271909999159
556,4,411.191,469.271,411.191,469.271,0.0,,
556,21,481.217,138.652,482.365,139.8,1.6235171696043478,0.7853981633974483,0.7071067811865476
556,22,870.383,424.5,868.087,426.796,3.2470343392086556,-0.785398163397436,0.7071067811865562
556,23,891.871,240.37,894.185,238.055,3.273197366490421,-0.7856141927740905,0.7069540088507024
556,24,972.88,110.75,974.04,108.435,2.5893676834315973,-1.1062851601503854,0.4479858180907941
556,25,919.747,263.783,919.747,263.783,0.0,,
556,26,930.062,-26.97197,931.22,-25.81465,1.6371785432261297,0.7851044675020795,0.7073144250462307
556,29,673.137,-11.9268,669.665,-15.398700000000002,4.910078778390411,0.7853837622684039,0.7071169642492269
556,42,997.81,-3.6972999999999985,997.81,-3.6972999999999985,0.0,,
556,48,337.72,99.62100000000001,337.72,99.62100000000001,0.0,,
557,4,411.191,469.271,405.451,471.567,6.182169198590364,-0.38050637711236657,0.9284766908852586
557,21,482.365,139.8,483.51300000000003,143.244,3.630294753873296,1.249045772398247,0.3162277660168449
557,22,868.087,426.796,869.235,424.5,2.5670060381697626,-1.1071487177940806,0.44721359549996675
557,23,894.185,238.055,889.556,238.055,4.628999999999905,0.0,1.0
557,24,974.04,108.435,969.41,107.27799999999999,4.77237351849161,0.24487702161682373,0.9701671468211873
557,25,919.747,263.783,919.747,263.783,0.0,,
557,26,931.22,-25.81465,931.22,-30.44394,4.629290000000001,-1.5707963267948966,6.123233995736766e-17
557,29,669.665,-15.398700000000002,669.665,-7.297499999999999,8.101200000000002,1.5707963267948966,6.123233995736766e-17
557,42,997.81,-3.6972999999999985,997.81,-3.6972999999999985,0.0,,
